"brand","C","Si","Mn","Ni","S","P","Cr","Mo","Ti","Al","Cu","V","РЗМ","Nb","Fe","Ce","W","B","N","Other","Zr","Ca","Mg","Co","Pb","Se","Arsenicum","Bi","Te","O","La","Y","Hf","Примесей","Zn","Sn","Ba","Ta","Sb","Твердость_Cu__Сплав_деформированый","Ag","Li","NiandCo","Be","CuandP","CuandAg","Na","Sc","F","Sr","Ga","AlandMg","Cd"
"03Н12Х5М3ТЛ","0.01 - 0.04","до 0.2","до 0.2","12 - 12.5","до 0.015","до 0.015","4.5 - 5","2.5 - 3","0.7 - 0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03Н12Х5М3ТЮЛ","0.01 - 0.04","до 0.2","до 0.2","12 - 12.5","до 0.015","до 0.015","4.5 - 5","2.5 - 3","0.7 - 0.9","0.25 - 0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07Х17Н16ТЛ","0.04 - 0.1","0.2 - 0.6","1 - 2","15 - 17","до 0.02","до 0.035","16 - 18","","0.005 - 0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07Х18Н10Г2С2М2Л","до 0.07","до 2","до 2","9 - 12","до 0.04","до 0.04","17 - 19","2 - 2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07Х18Н9Л","до 0.07","0.2 - 1","1 - 2","8 - 11","до 0.03","до 0.035","17 - 20","","","","до 0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07Х21Н9С2МЛ","до 0.07","2 - 2.5","0.5 - 0.9","8 - 9","до 0.03","до 0.03","20.5 - 22.5","0.8 - 1.3","","","","0.2 - 0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07Х24Н8М2Д3Л","до 0.07","0.4 - 0.8","0.3 - 0.8","8 - 9","до 0.025","до 0.025","23 - 25","1.75 - 2.25","","","2.75 - 3.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Г2ДНФЛ","0.05 - 0.1","0.15 - 0.4","1.3 - 1.7","1.15 - 1.55","до 0.02","до 0.02","до 0.3","","","","0.8 - 1.1","0.02 - 0.08","0.02 - 0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08ГДНФЛ","до 0.1","0.15 - 0.4","0.6 - 1","1.15 - 1.55","до 0.035","до 0.035","","","","","0.8 - 1.2","до 0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Х12Н4ГСМЛ","до 0.08","до 1","до 1.5","3.5 - 5","до 0.035","до 0.035","11.5 - 13.5","до 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Х14Н5М2ДЛ","до 0.08","до 0.7","до 1","4.5 - 5.5","до 0.03","до 0.03","13 - 14.5","1.5 - 2","","","1.2 - 1.75","","","до 0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Х14Н7МЛ","до 0.08","0.2 - 0.75","0.3 - 0.9","6 - 8.5","до 0.03","до 0.03","13 - 15","0.5 - 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Х14НДЛ","до 0.08","до 0.4","0.5 - 0.8","1.2 - 1.6","до 0.025","до 0.025","13 - 14.5","","","","0.8 - 1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Х15Н4ДМЛ","до 0.08","до 0.4","1 - 1.5","3.5 - 3.9","до 0.025","до 0.025","14 - 16","0.3 - 0.45","","","1 - 1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Х17Н34В5Т3Ю2Л","до 0.08","0.2 - 0.5","0.3 - 0.6","32 - 35","до 0.01","до 0.01","15 - 18","","2.6 - 3.2","1.7 - 2.1","до 0.3","","","","34.64 - 43.7","до 0.01","4.5 - 5.5","до 0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08Х17Н34В5Т3Ю2РЛ","до 0.08","0.2 - 0.5","0.3 - 0.6","32 - 35","до 0.01","до 0.01","15 - 18","","2.6 - 3.2","1.7 - 2.1","","","","","34.95 - 43.7","до 0.01","4.5 - 5.5","до 0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09Х16Н4БЛ","0.05 - 0.13","0.2 - 0.6","0.3 - 0.6","3.5 - 4.5","до 0.025","до 0.03","15 - 17","","","","","","","0.05 - 0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09Х17Н3СЛ","0.05 - 0.12","0.8 - 1.5","0.3 - 0.8","2.8 - 3.8","до 0.03","до 0.035","15 - 18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10Х14Н5М2Л","0.12 - 0.16","до 0.75","до 0.9","4.5 - 5.5","до 0.025","до 0.025","13 - 15","2.3 - 2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10Х14НДЛ","до 0.1","0.2 - 0.4","0.3 - 0.6","1.2 - 1.6","до 0.03","до 0.03","13.5 - 15","","","","1.2 - 1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10Х17Н10Г4МБЛ","до 0.12","до 0.6","3.5 - 4.5","9.5 - 11","до 0.025","до 0.025","16 - 18","0.9 - 1.2","","","до 0.3","","","0.7 - 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10Х18Н11БЛ","до 0.1","0.2 - 1","1 - 2","8 - 12","до 0.03","до 0.035","17 - 20","","","","","","","0.45 - 0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10Х18Н3Г3Д2Л","до 0.1","до 0.6","2.3 - 3","3 - 3.5","до 0.03","до 0.03","13 - 19","","","","1.8 - 2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10Х18Н9БЛ","до 0.1","до 1","до 2","8 - 12","до 0.025","до 0.025","17 - 20","","","","","","","0.8 - 0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10Х18Н9Л","до 0.14","0.2 - 1","1 - 2","8 - 11","до 0.03","до 0.035","17 - 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110Г13Л","0.9 - 1.5","0.3 - 1","11.5 - 15","до 1","до 0.05","до 0.12","до 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
