"brand","hardness"
"03Н12Х5М3ТЛ",""
"03Н12Х5М3ТЮЛ",""
"07Х17Н16ТЛ",""
"07Х18Н10Г2С2М2Л",""
"07Х18Н9Л",""
"07Х21Н9С2МЛ",""
"07Х24Н8М2Д3Л",""
"08Г2ДНФЛ",""
"08ГДНФЛ","Твердость 08ГДНФЛ ,/HB 10 -1 = 126 - 178 МПа"
"08Х12Н4ГСМЛ",""
"08Х14Н5М2ДЛ",""
"08Х14Н7МЛ",""
"08Х14НДЛ",""
"08Х15Н4ДМЛ",""
"08Х17Н34В5Т3Ю2Л",""
"08Х17Н34В5Т3Ю2РЛ",""
"09Х16Н4БЛ",""
"09Х17Н3СЛ",""
"10Х14Н5М2Л",""
"10Х14НДЛ",""
"10Х17Н10Г4МБЛ",""
"10Х18Н11БЛ",""
"10Х18Н3Г3Д2Л",""
"10Х18Н9БЛ",""
"10Х18Н9Л",""
"110Г13Л",""
"110Г13ФТЛ",""
"110Г13Х2БРЛ",""
"110Г13ХБРЛ",""
"120Г10ФЛ",""
"120Г13Х2БЛ",""
"12ДН2ФЛ","Твердость 12ДН2ФЛ ,/HB 10 -1 = 170 - 229 МПа"
"12ДХН1МФЛ","Твердость 12ДХН1МФЛ ,/HB 10 -1 = 217 - 269 МПа"
"12Х18Н12БЛ",""
"12Х18Н12М3ТЛ",""
"12Х18Н9ТЛ",""
"12Х19Н7Г2САЛ",""
"12Х21Н5Г2САЛ",""
"12Х21Н5Г2СЛ",""
"12Х21Н5Г2СМ2Л",""
"12Х21Н5Г2СТЛ",""
"12Х25Н5ТМФЛ",""
"12Х7Г3СЛ",""
"12ХГФЛ",""
"130Г14ХМФАЛ",""
"13Х11Н2В2МФЛ",""
"13Х14Н3В2ФРЛ",""
"13ХНДФТЛ",""
"14Х17Н2Л",""
"14Х18Н4Г4Л",""
"14Х2ГМРЛ","Твердость 14Х2ГМРЛ после отжига ,/HB 10 -1 = 179 - 196 МПа"
"15ГЛ",""
"15ГНЛ","Твердость 15ГНЛ после нормализации и отпуска ,/HB 10 -1 = 140 МПа;Твердость 15ГНЛ после закалки и отпуска ,/HB 10 -1 = 150 МПа"
"15Л","Твердость 15Л ,/HB 10 -1 = 109 - 136 МПа"
"15Х13Л",""
"15Х14НЛ",""
"15Х18Н10Г2С2М2Л",""
"15Х18Н10Г2С2М2ТЛ",""
"15Х18Н12С4Л",""
"15Х18Н12С4ТЮЛ",""
"15Х18Н22В6М2Л",""
"15Х18Н22В6М2РЛ",""
"15Х23Н18Л",""
"15Х25ТЛ",""
"15ХЛ",""
"16Х18Н12С4ТЮЛ",""
"18Х25Н19СЛ",""
"20Г1ФЛ",""
"20ГЛ","Твердость 20ГЛ ,/HB 10 -1 = 143 - 187 МПа"
