"brand","class_of_material","index_of_material_class","subclass_of_material"
"000Х17Н13М2","Сталь конструкционная","2","Хромоникельмолибденовая сталь"
"000Х18Н11","Сталь, сплав коррозионно-стойкие","5",""
"000Х18Н12","Сталь, сплав коррозионно-стойкие","5",""
"000Х23Н28М3Д3Т","Сталь, сплав коррозионно-стойкие","5",""
"00Х16Н15М3Б","Сталь, сплав коррозионно-стойкие","5",""
"00Х18Н10","Сталь, сплав коррозионно-стойкие","5",""
"00Х18Н10Т","Сталь, сплав жаропрочные","4",""
"00Х20Н20М4Б","Сталь, сплав коррозионно-стойкие","5",""
"02Х18Н11","Сталь, сплав коррозионно-стойкие","5",""
"03Н12Х5М3ТЛ","Сталь для отливок","0","Хромоникельмолибденовая сталь"
"03Н12Х5М3ТЮЛ","Сталь для отливок","0","Хромоникельмолибденовая сталь"
"03Х13Н9Д2ТМ","Сталь конструкционная","2","Хромоникелевая сталь"
"03Х15Н35Г7М6Б","Сталь, сплав коррозионно-стойкие","5",""
"03Х16Н15М3","Сталь, сплав коррозионно-стойкие","5",""
"03Х16Н15М3Б","Сталь, сплав коррозионно-стойкие","5",""
"03Х17Н14М3","Сталь конструкционная","2","Хромоникельмолибденовая сталь"
"03Х18Н10Т","Сталь, сплав жаропрочные","4",""
"03Х18Н11","Сталь, сплав коррозионно-стойкие","5",""
"03Х18Н12","Сталь, сплав коррозионно-стойкие","5",""
"03Х18Н16М3","Сталь, сплав коррозионно-стойкие","5",""
"03Х19Г10Н7М2","Сталь конструкционная","2","Хромоникельмолибденовая сталь"
"03Х20Н16АГ6","Сталь конструкционная","2","Хромоникелевая сталь"
"03Х21Н21М4ГБ","Сталь, сплав коррозионно-стойкие","5",""
"03Х21Н32М3Б","Сталь, сплав коррозионно-стойкие","5",""
"03Х21Н32М3Б-ВИ","Сталь, сплав коррозионно-стойкие","5",""
"03Х22Н6М2","Сталь, сплав коррозионно-стойкие","5",""
"03Х23Н6","Сталь, сплав коррозионно-стойкие","5",""
"03ХН28МДТ","Сталь, сплав коррозионно-стойкие","5",""
"04Х17Т","Сталь, сплав коррозионно-стойкие","5",""
"04Х18Н10","Сталь, сплав коррозионно-стойкие","5",""
"05Г4МНФ","Сталь конструкционная","2","Марганцовистая сталь"
"05Х12Н6Д2МФСГТ","Сталь инструментальная","1","Хромоникелевая сталь"
"05Х18Н10Т","Сталь, сплав жаропрочные","4",""
"05кп","Сталь конструкционная","2","Углеродистая сталь"
"06Г2СЮ","Сталь конструкционная","2","Марганцовистая сталь"
"06Х1","Сталь конструкционная","2","Углеродистая сталь"
"06Х12Н3Д","Сталь, сплав коррозионно-стойкие","5",""
"06Х16Н15М2Г2ТФР","Сталь, сплав коррозионно-стойкие","5",""
"06Х16Н15М2Г2ТФР-ИД","Сталь, сплав коррозионно-стойкие","5",""
"06Х16Н15М3Б","Сталь, сплав жаропрочные","4",""
"06Х16Н15М3Б-ИД","Сталь, сплав жаропрочные","4",""
"06Х18Н10Т","Сталь, сплав коррозионно-стойкие","5",""
"06Х18Н11","Сталь, сплав коррозионно-стойкие","5",""
"06ХГСЮ","Сталь конструкционная","2","Марганцовистая сталь"
"06ХН28МДТ","Сталь, сплав коррозионно-стойкие","5",""
"06ХН28МТ","Сталь, сплав коррозионно-стойкие","5",""
"06ХФ","Сталь конструкционная","2","Углеродистая сталь"
"07ГФБ","Сталь конструкционная","2","Марганцовистая сталь"
"07ГФБ-1","Сталь конструкционная","2","Углеродистая сталь"
"07Х16Н4Б","Сталь, сплав коррозионно-стойкие","5",""
"07Х16Н6","Сталь, сплав коррозионно-стойкие","5",""
"07Х17Н16ТЛ","Сталь для отливок","0","Хромоникелевая сталь"
"07Х18Н10Г2С2М2Л","Сталь для отливок","0","Хромокремнемарганцовистая сталь"
"07Х18Н9Л","Сталь для отливок","0","Хромоникелевая сталь"
"07Х21Г7АН5","Сталь конструкционная","2","Хромоникелевая сталь"
"07Х21Н9С2МЛ","Сталь для отливок","0","Хромоникельмолибденовая сталь"
"07Х24Н8М2Д3Л","Сталь для отливок","0","Хромоникельмолибденовая сталь"
"08","Сталь конструкционная","2","Углеродистая сталь"
"08Г2ДНФЛ","Сталь для отливок","0","Марганцовистая сталь"
"08Г2С","Сталь конструкционная","2","Марганцовистая сталь"
"08ГБЮ","Сталь конструкционная","2","Марганцовистая сталь"
"08ГДНФ","Сталь конструкционная","2","Углеродистая сталь"
"08ГДНФЛ","Сталь для отливок","0","Углеродистая сталь"
"08Фкп","Сталь конструкционная","2","Углеродистая сталь"
"08Х10Н20Т2","Сталь, сплав коррозионно-стойкие","5",""
"08Х12Н4ГСМЛ","Сталь для отливок","0","Хромоникелевая сталь"
"08Х13","Сталь, сплав коррозионно-стойкие","5",""
"08Х14МФ","Сталь, сплав коррозионно-стойкие","5",""
"08Х14МФ-Ш","Сталь, сплав коррозионно-стойкие","5",""
"08Х14Н5М2ДЛ","Сталь для отливок","0","Хромоникельмолибденовая сталь"
"08Х14Н7МЛ","Сталь для отливок","0","Хромоникелевая сталь"
"08Х14НДЛ","Сталь для отливок","0","Хромоникелевая сталь"
"08Х14Ф","Сталь, сплав коррозионно-стойкие","5",""
