"brand","tensile_strength","yield_strength","elongation_at_break","relative_narrowing","impact_strength"
"03Н12Х5М3ТЛ","Отливки, КТ130, ГОСТ 977-88/1324; ","Отливки, КТ130, ГОСТ 977-88/1275; ","Отливки, КТ130, ГОСТ 977-88/8; ","Отливки, КТ130, ГОСТ 977-88/45; ","Отливки, КТ130, ГОСТ 977-88/491; "
"03Н12Х5М3ТЮЛ","Отливки, КТ145, ГОСТ 977-88/1472; ","Отливки, КТ145, ГОСТ 977-88/1422; ","Отливки, КТ145, ГОСТ 977-88/8; ","Отливки, КТ145, ГОСТ 977-88/35; ","Отливки, КТ145, ГОСТ 977-88/294; "
"07Х17Н16ТЛ","Отливки, ГОСТ 977-88/441; ","Отливки, ГОСТ 977-88/196; ","Отливки, ГОСТ 977-88/40; ","Отливки, ГОСТ 977-88/55; ","Отливки, ГОСТ 977-88/392; "
"07Х18Н10Г2С2М2Л","Отливки, ГОСТ 977-88/432; ","Отливки, ГОСТ 977-88/177; ","Отливки, ГОСТ 977-88/30; ","Отливки, ГОСТ 977-88/35; ","Отливки, ГОСТ 977-88/441; "
"07Х18Н9Л","Отливки/450; ","Отливки/180; ","Отливки/25; ","Отливки/35; ","Отливки/1000; "
"07Х21Н9С2МЛ","Отливки, ОСТ 1 90090-79/650; ","Отливки, ОСТ 1 90090-79/400; ","Отливки, ОСТ 1 90090-79/30; ","Отливки, ОСТ 1 90090-79/40; ","Отливки, ОСТ 1 90090-79/1000; "
"07Х24Н8М2Д3Л","Отливки, ОСТ 1 90090-79/650; ","Отливки, ОСТ 1 90090-79/400; ","Отливки, ОСТ 1 90090-79/20; ","Отливки, ОСТ 1 90090-79/50; ","Отливки, ОСТ 1 90090-79/1200; "
"08Г2ДНФЛ","Отливки, ГОСТ 21357-87/500; ","Отливки, ГОСТ 21357-87/400; ","Отливки, ГОСТ 21357-87/20; ","Отливки, ГОСТ 21357-87/45; ","Отливки, ГОСТ 21357-87/nan; "
"08ГДНФЛ","Отливки, К35, ГОСТ 977-88/441; ","Отливки, К35, ГОСТ 977-88/343; ","Отливки, К35, ГОСТ 977-88/18; ","Отливки, К35, ГОСТ 977-88/30; ","Отливки, К35, ГОСТ 977-88/491; "
"08Х12Н4ГСМЛ","Отливки, ГОСТ 977-88/736; ","Отливки, ГОСТ 977-88/549; ","Отливки, ГОСТ 977-88/15; ","Отливки, ГОСТ 977-88/35; ","Отливки, ГОСТ 977-88/540; "
"08Х14Н5М2ДЛ","Отливки, ОСТ 1 90090-79/1100-1250; ","Отливки, ОСТ 1 90090-79/850-900; ","Отливки, ОСТ 1 90090-79/12-14; ","Отливки, ОСТ 1 90090-79/35-40; ","Отливки, ОСТ 1 90090-79/400-500; "
"08Х14Н7МЛ","Отливки, ГОСТ 977-88/981; ","Отливки, ГОСТ 977-88/687; ","Отливки, ГОСТ 977-88/10; ","Отливки, ГОСТ 977-88/25; ","Отливки, ГОСТ 977-88/294; "
"08Х14НДЛ","Отливки, ГОСТ 977-88/648; ","Отливки, ГОСТ 977-88/510; ","Отливки, ГОСТ 977-88/15; ","Отливки, ГОСТ 977-88/40; ","Отливки, ГОСТ 977-88/590; "
"08Х15Н4ДМЛ","Отливки, ГОСТ 977-88/736; ","Отливки, ГОСТ 977-88/589; ","Отливки, ГОСТ 977-88/17; ","Отливки, ГОСТ 977-88/45; ","Отливки, ГОСТ 977-88/981; "
"08Х17Н34В5Т3Ю2Л","Отливки/800; ","Отливки/700; ","Отливки/3; ","Отливки/3; ","Отливки/nan; "
"08Х17Н34В5Т3Ю2РЛ","Отливки, ГОСТ 977-88/785; ","Отливки, ГОСТ 977-88/687; ","Отливки, ГОСТ 977-88/3; ","Отливки, ГОСТ 977-88/3; ","Отливки, ГОСТ 977-88/nan; "
"09Х16Н4БЛ","Отливки, ГОСТ 977-88/932-1128; ","Отливки, ГОСТ 977-88/785-883; ","Отливки, ГОСТ 977-88/8-10; ","Отливки, ГОСТ 977-88/nan; ","Отливки, ГОСТ 977-88/245-392; "
"09Х17Н3СЛ","Отливки, ГОСТ 977-88/981; ","Отливки, ГОСТ 977-88/736; ","Отливки, ГОСТ 977-88/8; ","Отливки, ГОСТ 977-88/15; ","Отливки, ГОСТ 977-88/196; "
"10Х14Н5М2Л","Отливки, ОСТ 1 90090-79/1350; ","Отливки, ОСТ 1 90090-79/900; ","Отливки, ОСТ 1 90090-79/10; ","Отливки, ОСТ 1 90090-79/30; ","Отливки, ОСТ 1 90090-79/400; "
"10Х14НДЛ","nan/600; ","nan/450; ","nan/15; ","nan/40; ","nan/600; "
"10Х17Н10Г4МБЛ","Отливки/400; ","Отливки/200; ","Отливки/15; ","Отливки/25; ","Отливки/400; "
"10Х18Н11БЛ","Отливки, ГОСТ 977-88/441; ","Отливки, ГОСТ 977-88/196; ","Отливки, ГОСТ 977-88/25; ","Отливки, ГОСТ 977-88/35; ","Отливки, ГОСТ 977-88/590; "
"10Х18Н3Г3Д2Л","Отливки, ГОСТ 977-88/687; ","Отливки, ГОСТ 977-88/491; ","Отливки, ГОСТ 977-88/12; ","Отливки, ГОСТ 977-88/25; ","Отливки, ГОСТ 977-88/294; "
"10Х18Н9БЛ","Отливки, ОСТ 1 90090-79/450; ","Отливки, ОСТ 1 90090-79/200; ","Отливки, ОСТ 1 90090-79/25; ","Отливки, ОСТ 1 90090-79/35; ","Отливки, ОСТ 1 90090-79/500; "
"10Х18Н9Л","Отливки, ГОСТ 977-88/441; ","Отливки, ГОСТ 977-88/177; ","Отливки, ГОСТ 977-88/25; ","Отливки, ГОСТ 977-88/35; ","Отливки, ГОСТ 977-88/981; "
"110Г13Л","Отливки, ГОСТ 21357-87/800; ГОСТ 977-88/Механические свойства устанавливаются по согласованию с заказчиком; ","Отливки, ГОСТ 21357-87/400; ГОСТ 977-88/Механические свойства устанавливаются по согласованию с заказчиком; ","Отливки, ГОСТ 21357-87/25; ГОСТ 977-88/Механические свойства устанавливаются по согласованию с заказчиком; ","Отливки, ГОСТ 21357-87/35; ГОСТ 977-88/Механические свойства устанавливаются по согласованию с заказчиком; ","Отливки, ГОСТ 21357-87/nan; ГОСТ 977-88/Механические свойства устанавливаются по согласованию с заказчиком; "
"110Г13ФТЛ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; "
"110Г13Х2БРЛ","Отливки, ГОСТ 977-88/nan; ","Отливки, ГОСТ 977-88/491; ","Отливки, ГОСТ 977-88/22; ","Отливки, ГОСТ 977-88/30; ","Отливки, ГОСТ 977-88/1962; "
"110Г13ХБРЛ","Отливки, ГОСТ 21357-87/750; ","Отливки, ГОСТ 21357-87/480; ","Отливки, ГОСТ 21357-87/20; ","Отливки, ГОСТ 21357-87/30; ","Отливки, ГОСТ 21357-87/nan; "
"120Г10ФЛ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; ","ГОСТ 977/Механические свойства устанавливаются по согласованию с заказчиком; "
"120Г13Х2БЛ","Отливки/750; ","Отливки/480; ","Отливки/20; ","Отливки/30; ","Отливки/1800; "
"12ДН2ФЛ","Отливки, К55, ГОСТ 977-88/638; Отливки, КТ65, ГОСТ 977-88/785; ","Отливки, К55, ГОСТ 977-88/540; Отливки, КТ65, ГОСТ 977-88/638; ","Отливки, К55, ГОСТ 977-88/12; Отливки, КТ65, ГОСТ 977-88/12; ","Отливки, К55, ГОСТ 977-88/20; Отливки, КТ65, ГОСТ 977-88/25; ","Отливки, К55, ГОСТ 977-88/294; Отливки, КТ65, ГОСТ 977-88/392; "
"12ДХН1МФЛ","Отливки, К65, ГОСТ 977-88/785; Отливки, КТ75, ГОСТ 977-88/981; ","Отливки, К65, ГОСТ 977-88/638; Отливки, КТ75, ГОСТ 977-88/735; ","Отливки, К65, ГОСТ 977-88/12; Отливки, КТ75, ГОСТ 977-88/10; ","Отливки, К65, ГОСТ 977-88/20; Отливки, КТ75, ГОСТ 977-88/20; ","Отливки, К65, ГОСТ 977-88/294; Отливки, КТ75, ГОСТ 977-88/294; "
